City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,gamba,-2.65,10.0,80.01,86,100,5.53,GA,1709170186
261,las tablas,7.7667,-80.2833,76.17,99,98,19.57,PA,1709170186
262,myitkyina,25.3833,97.4,61.81,74,0,2.57,MM,1709170186
263,les cayes,18.2,-73.75,75.72,83,0,3.33,HT,1709170186
264,mejit,10.2753,170.8646,80.46,75,100,17.18,MH,1709170187
265,mersa matruh,31.3525,27.2453,60.28,78,4,13.38,EG,1709170187
266,peniche,39.3558,-9.3811,57.11,86,93,18.1,PT,1709170187
267,mermoz boabab,14.7065,-17.4758,70.36,83,94,9.22,SN,1709170188
268,chegdomyn,51.1167,133.0167,13.5,88,100,2.01,RU,1709170188
269,yuzhno-kurilsk,44.0306,145.8556,16.38,83,100,25.43,RU,1709170188
270,huarmey,-10.0681,-78.1522,74.14,83,100,9.73,PE,1709170189
271,san pedro,14.35,121.0167,85.35,69,20,13.0,PH,1709170189
272,la sarre,48.8002,-79.1996,-5.28,95,100,17.94,CA,1709170180
273,fortuna,40.5982,-124.1573,56.32,80,40,0.0,US,1709170189
274,east london,-33.0153,27.9116,67.91,71,0,18.48,ZA,1709170189
275,belokurikha,51.9959,84.9896,6.78,82,66,6.8,RU,1709170190
276,kamaishi,39.2667,141.8833,39.33,49,76,1.54,JP,1709170190
277,antonio enes,-16.2325,39.9086,75.63,95,90,10.47,MZ,1709170190
278,natal,-5.795,-35.2094,79.45,94,40,2.3,BR,1709170190
279,kristinestad,62.2743,21.376,32.09,96,100,11.43,FI,1709170178
280,new norfolk,-42.7826,147.0587,72.9,72,100,8.81,AU,1709170191
281,yangquan,37.8575,113.5633,29.35,84,100,5.99,CN,1709170191
282,itacarambi,-15.1022,-44.0919,77.83,65,73,1.95,BR,1709170191
283,amursk,50.2261,136.8994,8.98,86,92,5.95,RU,1709170191
284,margaret river,-33.95,115.0667,64.87,58,0,10.04,AU,1709169984
285,north bend,43.4065,-124.2243,55.24,87,100,11.5,US,1709170192
286,valparaiso,-33.0393,-71.6273,71.01,67,0,3.44,CL,1709170192
287,belo sur tsiribihina,-19.7,44.55,76.28,94,100,4.23,MG,1709170192
288,fort st. john,56.2499,-120.8529,10.29,67,75,4.61,CA,1709170192
289,las heras,-46.5419,-68.9359,65.03,33,2,12.68,AR,1709170193
290,iranshahr,27.2025,60.6848,60.78,79,95,5.39,IR,1709170193
291,santa cruz,-17.8,-63.1667,78.26,83,1,5.75,BO,1709170098
292,nantucket,41.2835,-70.0995,51.85,100,100,27.63,US,1709170193
293,conde,-7.2597,-34.9075,76.46,94,40,5.75,BR,1709170193
294,dorado,18.4588,-66.2677,78.69,88,12,1.01,PR,1709169955
295,thunder bay,48.4001,-89.3168,4.98,47,0,8.05,CA,1709170047
296,chimbarongo,-34.7,-71.05,77.88,38,0,2.21,CL,1709170194
297,kuala belait,4.5833,114.1833,84.36,83,100,2.35,BN,1709170194
298,novodvinsk,64.4165,40.8122,33.55,98,47,4.23,RU,1709170195
299,tolanaro,-25.0319,46.9987,77.07,94,40,9.22,MG,1709170195
300,kaka,37.3482,59.6143,34.29,52,91,4.03,TM,1709170195
301,boqueirao,-7.5,-36.1333,74.75,77,98,3.29,BR,1709170195
302,gorgoram,12.6398,10.7039,81.68,17,22,8.05,NG,1709170196
303,villa gesell,-37.2639,-56.973,71.06,80,36,17.16,AR,1709170196
304,plouguerneau,48.6,-4.5,52.45,93,100,18.41,FR,1709170196
305,kovdor,67.5662,30.4758,27.54,90,99,13.44,RU,1709170196
306,gbarnga,6.9956,-9.4722,73.54,98,100,3.18,LR,1709170196
307,al kharj,24.155,47.3346,54.18,65,0,9.26,SA,1709170197
308,hita,33.3167,130.9333,46.08,94,100,3.94,JP,1709170197
309,santa ana,33.7456,-117.8678,70.86,71,20,9.22,US,1709170019
310,lycksele,64.5954,18.6735,29.43,93,87,4.61,SE,1709170197
311,vel'sk,61.0701,42.0983,31.26,92,100,11.01,RU,1709170197
312,zemio,5.0314,25.1361,72.05,50,12,0.63,CF,1709170198
313,lake charles,30.2131,-93.2044,60.8,47,75,14.97,US,1709169904
314,zhangjiajie,29.1294,110.4783,38.82,98,100,2.95,CN,1709170198
315,hastings,50.8552,0.5729,52.12,97,100,21.72,GB,1709170178
316,chibougamau,49.9168,-74.3659,1.02,78,100,25.32,CA,1709170198
317,as sulayyil,20.4607,45.5779,62.85,25,19,12.3,SA,1709170199
318,mana,5.6592,-53.7767,78.55,75,13,9.75,GF,1709170199
319,kudahuvadhoo,2.6708,72.8944,81.84,74,100,6.85,MV,1709170199
320,fort wellington,6.4,-57.6,78.85,75,34,11.92,GY,1709170199
321,birao,10.2849,22.7882,75.94,18,10,7.65,CF,1709170199
322,yelizovo,53.1873,158.3805,23.14,73,100,15.99,RU,1709170200
323,melfi,40.9965,15.6514,56.5,78,100,11.72,IT,1709170200
324,georgetown,5.4112,100.3354,82.35,61,20,6.91,MY,1709170200
325,linden,6.0,-58.3,75.47,82,100,4.54,GY,1709170200
326,beolgyo,34.8449,127.3429,41.04,89,100,8.97,KR,1709170201
327,port douglas,-16.4833,145.4667,82.13,85,96,12.62,AU,1709170201
328,laurentides,46.4334,-74.9826,26.71,81,100,15.48,CA,1709170201
329,igoumenitsa,39.5039,20.2656,61.66,74,100,7.87,GR,1709170201
330,serhiyivka,46.0272,30.3768,41.99,87,58,7.02,UA,1709170202
331,yemva,62.59,50.8594,22.33,98,99,2.26,RU,1709170203
332,nova vicosa,-17.8919,-39.3719,78.76,86,36,10.33,BR,1709170203
333,uturoa,-16.7333,-151.4333,83.95,73,22,7.07,PF,1709170204
334,abepura,-2.6333,140.5833,85.01,74,20,4.61,ID,1709170205
335,malinyi,-8.9333,36.1333,71.69,99,100,0.45,TZ,1709170205
336,gobernador virasora,-28.05,-56.0333,69.78,97,100,4.16,AR,1709170206
337,pacocha,-17.5833,-71.3333,72.07,86,97,4.41,PE,1709170206
338,cururupu,-1.8283,-44.8683,73.38,99,100,1.9,BR,1709170206
339,nchelenge,-9.3451,28.734,67.91,95,100,7.29,ZM,1709170206
340,reggane,26.7158,0.1714,55.33,31,0,7.25,DZ,1709170207
341,selfoss,63.9331,-20.9971,18.05,66,96,7.96,IS,1709170207
342,ji'an,27.1172,114.9793,41.94,96,100,8.32,CN,1709170208
343,at taj,24.2049,23.2857,62.55,16,0,11.12,LY,1709170208
344,sultanah,24.4926,39.5857,63.05,39,0,13.8,SA,1709170208
345,trairi,-3.2778,-39.2689,76.51,89,100,2.66,BR,1709170052
346,mount gambier,-37.8333,140.7667,73.89,44,100,8.46,AU,1709170209
347,luderitz,-26.6481,15.1594,60.98,93,34,1.41,NA,1709170209
348,san vicente,-26.6167,-54.1333,69.31,99,97,0.65,AR,1709170210
349,kovalam,8.3667,76.9967,78.89,69,20,3.44,IN,1709170210
350,peterhead,57.5058,-1.7981,50.4,69,100,22.7,GB,1709170210
351,kalmunai,7.4167,81.8167,79.74,80,99,10.67,LK,1709170211
352,hede,33.7681,120.2517,39.6,94,100,19.98,CN,1709170212
353,viedma,-40.8135,-62.9967,64.2,46,11,5.75,AR,1709170212
354,montepuez,-13.1256,38.9997,69.24,98,100,7.02,MZ,1709170223
355,rafah,31.287,34.2595,58.28,41,0,9.28,PS,1709170223
356,nuku'alofa,-21.1333,-175.2,88.14,84,40,8.05,TO,1709170223
357,rio gallegos,-51.6226,-69.2181,57.25,54,0,13.8,AR,1709170224
358,lagoa,39.05,-27.9833,57.88,67,100,21.39,PT,1709170224
359,palmer,42.1584,-72.3287,53.38,84,100,19.57,US,1709170087
360,lammi,61.0833,25.0167,26.82,97,49,5.46,FI,1709170234
361,nikol'sk,53.7189,46.0712,15.48,86,100,9.04,RU,1709170235
362,weno,7.4515,151.8468,81.21,75,100,24.38,FM,1709170235
